,,,,,All Type of Report (All Grades) for 01-Jan-2021 to 02-Jul-2026,,,,
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,12-03-2021,36.30,Metric Tonnes,800.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,13-03-2021,925.10,Metric Tonnes,1563.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,13-03-2021,1251.80,Metric Tonnes,566.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,13-03-2021,54.50,Metric Tonnes,800.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,15-03-2021,299.70,Metric Tonnes,1563.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,15-03-2021,168.90,Metric Tonnes,566.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,15-03-2021,45.40,Metric Tonnes,800.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,16-03-2021,1261.40,Metric Tonnes,1513.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,16-03-2021,1549.40,Metric Tonnes,566.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,16-03-2021,50.00,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,17-03-2021,1120.70,Metric Tonnes,1513.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,17-03-2021,1273.40,Metric Tonnes,566.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,17-03-2021,47.10,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,18-03-2021,1022.30,Metric Tonnes,1513.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,18-03-2021,1444.70,Metric Tonnes,489.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,18-03-2021,49.80,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,19-03-2021,760.40,Metric Tonnes,1354.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,19-03-2021,1302.20,Metric Tonnes,489.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,19-03-2021,50.30,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,20-03-2021,814.90,Metric Tonnes,1300.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,20-03-2021,1050.40,Metric Tonnes,503.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,20-03-2021,46.70,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,22-03-2021,94.30,Metric Tonnes,1300.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,22-03-2021,75.60,Metric Tonnes,503.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,22-03-2021,33.40,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,23-03-2021,1213.90,Metric Tonnes,1333.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,23-03-2021,1518.60,Metric Tonnes,503.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,23-03-2021,41.90,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,24-03-2021,928.00,Metric Tonnes,1333.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,24-03-2021,1054.40,Metric Tonnes,503.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,24-03-2021,39.80,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,25-03-2021,626.70,Metric Tonnes,1333.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,25-03-2021,1387.30,Metric Tonnes,486.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,25-03-2021,45.70,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,26-03-2021,1146.10,Metric Tonnes,1242.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,26-03-2021,1149.90,Metric Tonnes,486.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,26-03-2021,41.00,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,27-03-2021,1232.80,Metric Tonnes,1242.00,Rs./Quintal
